user_id,registration_date,observation_start_date,observation_end_date,last_live_bet_date,first_live_bet_date,tenure_days,live_bets_count,avg_bet_amount,total_turnover,total_payout,ggr,ggr_margin,deposit_count,total_deposit_amount,deposit_to_turnover_ratio,days_active_in_observation,bet_day_rate,days_since_last_bet,live_bets_count_outcome_window,churn
USER_10011,2024-03-23,2025-10-03,2025-12-31,2025-12-26,2025-10-13,648,39,6.28,244.92,125.37,119.55,0.4881,3.0,331.51,1.3535,12,0.1333,5,1,0
USER_10012,2025-10-23,2025-10-03,2025-12-31,2025-12-31,2025-10-26,69,51,11.78,600.78,757.74,-156.96,-0.2613,2.0,582.94,0.9703,17,0.1889,0,5,0
USER_10013,2025-09-24,2025-10-03,2025-12-31,2025-12-29,2025-10-05,98,187,8.97,1677.39,1266.86,410.53,0.2447,5.0,1402.97,0.8364,38,0.4222,2,15,0
USER_10014,2025-08-28,2025-10-03,2025-12-31,2025-12-26,2025-10-04,125,154,4.72,726.88,207.01,519.87,0.7152,4.0,476.61,0.6557,36,0.4,5,16,0
USER_10015,2023-12-21,2025-10-03,2025-12-31,2025-12-05,2025-10-04,741,16,18.64,298.24,292.81,5.43,0.0182,2.0,279.27,0.9364,9,0.1,26,0,1
USER_10016,2024-03-05,2025-10-03,2025-12-31,2025-12-24,2025-10-09,666,96,10.14,973.44,1169.85,-196.41,-0.2018,6.0,1039.31,1.0677,28,0.3111,7,7,0
USER_10017,2022-11-30,2025-10-03,2025-12-31,2025-12-30,2025-10-05,1127,32,7.48,239.36,260.31,-20.95,-0.0875,2.0,308.85,1.2903,14,0.1556,1,1,0
USER_10018,2025-09-02,2025-10-03,2025-12-31,2025-12-15,2025-10-05,120,14,5.85,81.9,36.46,45.44,0.5548,6.0,85.71,1.0465,7,0.0778,16,4,0
USER_10019,2025-01-26,2025-10-03,2025-12-31,2025-12-29,2025-10-04,339,66,12.86,848.76,366.0,482.76,0.5688,2.0,480.91,0.5666,20,0.2222,2,6,0
USER_10020,2025-05-26,2025-10-03,2025-12-31,2025-12-30,2025-10-08,219,142,5.42,769.64,869.34,-99.7,-0.1295,3.0,859.32,1.1165,34,0.3778,1,22,0
USER_10021,2025-06-26,2025-10-03,2025-12-31,2025-12-31,2025-10-03,188,97,7.63,740.11,537.48,202.63,0.2738,8.0,627.29,0.8476,28,0.3111,0,12,0
USER_10022,2024-11-13,2025-10-03,2025-12-31,2025-12-24,2025-10-04,413,81,11.09,898.29,583.25,315.04,0.3507,10.0,678.61,0.7554,22,0.2444,7,0,1
USER_10023,2024-12-20,2025-10-03,2025-12-31,2025-12-19,2025-10-07,376,25,,191.75,118.44,73.31,0.3823,,,,9,0.1,12,2,0
USER_10024,2025-05-19,2025-10-03,2025-12-31,2025-12-31,2025-10-04,226,46,14.71,676.66,593.13,83.53,0.1234,2.0,798.04,1.1794,13,0.1444,0,10,0
USER_10025,2024-06-17,2025-10-03,2025-12-31,2025-12-30,2025-10-03,562,137,17.13,2346.81,2088.08,258.73,0.1102,6.0,2075.72,0.8845,36,0.4,1,16,0
USER_10026,2025-09-27,2025-10-03,2025-12-31,2025-12-28,2025-10-18,95,22,25.97,571.34,337.29,234.05,0.4097,1.0,469.38,0.8215,6,0.0667,3,0,1
USER_10027,2025-02-05,2025-10-03,2025-12-31,2025-12-25,2025-10-08,329,42,7.9,331.8,73.47,258.33,0.7786,0.0,0.0,0.0,13,0.1444,6,0,1
USER_10028,2024-12-21,2025-10-03,2025-12-31,2025-12-31,2025-10-06,375,62,6.58,407.96,329.02,78.94,0.1935,2.0,314.19,0.7701,22,0.2444,0,3,0
USER_10029,2024-12-04,2025-10-03,2025-12-31,2025-12-25,2025-10-05,392,74,9.72,719.28,810.23,-90.95,-0.1264,3.0,551.51,0.7668,19,0.2111,6,4,0
USER_10030,2024-11-11,2025-10-03,2025-12-31,2025-12-31,2025-10-08,415,76,3.38,256.88,39.39,217.49,0.8467,1.0,285.32,1.1107,21,0.2333,0,6,0
USER_10031,2025-03-31,2025-10-03,2025-12-31,2025-12-30,2025-10-04,275,57,18.86,1075.02,365.73,709.29,0.6598,3.0,1152.3,1.0719,23,0.2556,1,9,0
USER_10032,2025-09-28,2025-10-03,2025-12-31,2025-12-25,2025-10-03,94,144,2.57,370.08,391.49,-21.41,-0.0579,,,,33,0.3667,6,33,0
USER_10033,2023-01-25,2025-10-03,2025-12-31,2025-12-28,2025-10-04,1071,85,6.21,527.85,476.72,51.13,0.0969,4.0,683.51,1.2949,25,0.2778,3,5,0
USER_10034,2022-05-03,2025-10-03,2025-12-31,2025-12-27,2025-10-15,1338,46,3.56,163.76,106.59,57.17,0.3491,,,,14,0.1556,4,8,0
USER_10035,2024-12-29,2025-10-03,2025-12-31,2025-12-29,2025-10-04,367,47,7.8,366.6,97.45,269.15,0.7342,4.0,317.18,0.8652,16,0.1778,2,6,0
USER_10036,2024-09-23,2025-10-03,2025-12-31,2025-12-28,2025-10-03,464,115,10.58,1216.7,1227.53,-10.83,-0.0089,6.0,925.91,0.761,27,0.3,3,13,0
USER_10037,2022-09-08,2025-10-03,2025-12-31,2025-12-24,2025-10-18,1210,21,3.4,71.4,18.06,53.34,0.7471,1.0,74.16,1.0387,10,0.1111,7,0,1
USER_10038,2024-02-26,2025-10-03,2025-12-31,2025-12-31,2025-10-03,674,34,,316.88,163.18,153.7,0.485,,,,18,0.2,0,2,0
USER_10039,2025-04-01,2025-10-03,2025-12-31,2025-12-30,2025-10-04,274,89,13.37,1189.93,592.36,597.57,0.5022,4.0,845.21,0.7103,23,0.2556,1,7,0
USER_10040,2023-09-19,2025-10-03,2025-12-31,2025-12-24,2025-10-11,834,54,15.82,854.28,432.0,422.28,0.4943,4.0,852.23,0.9976,16,0.1778,7,7,0
USER_10041,2021-11-27,2025-10-03,2025-12-31,2025-12-31,2025-10-03,1495,50,9.4,470.0,266.03,203.97,0.434,6.0,294.97,0.6276,21,0.2333,0,6,0
USER_10042,2025-10-03,2025-10-03,2025-12-31,2025-12-17,2025-10-03,89,55,3.17,174.35,178.48,-4.13,-0.0237,3.0,125.42,0.7194,16,0.1778,14,3,0
USER_10043,2024-01-02,2025-10-03,2025-12-31,2025-12-31,2025-10-12,729,81,4.62,374.22,454.86,-80.64,-0.2155,2.0,457.58,1.2228,22,0.2444,0,10,0
USER_10044,2025-06-25,2025-10-03,2025-12-31,2025-12-30,2025-10-04,189,95,11.78,1119.1,1011.84,107.26,0.0958,2.0,941.42,0.8412,25,0.2778,1,12,0
USER_10045,2025-04-04,2025-10-03,2025-12-31,2025-12-20,2025-10-03,271,51,14.02,715.02,566.11,148.91,0.2083,2.0,422.95,0.5915,12,0.1333,11,7,0
USER_10046,2024-11-12,2025-10-03,2025-12-31,2025-12-31,2025-10-03,414,133,13.11,1743.63,1492.32,251.31,0.1441,4.0,1585.14,0.9091,34,0.3778,0,25,0
USER_10047,2021-09-12,2025-10-03,2025-12-31,2025-12-24,2025-10-03,1571,45,15.52,698.4,663.76,34.64,0.0496,2.0,558.84,0.8002,16,0.1778,7,0,1
USER_10048,2023-11-24,2025-10-03,2025-12-31,2025-12-22,2025-10-03,768,57,3.22,183.54,18.79,164.75,0.8976,3.0,238.58,1.2999,17,0.1889,9,13,0
USER_10049,2025-04-12,2025-10-03,2025-12-31,2025-12-26,2025-10-07,263,171,1.66,283.86,306.24,-22.38,-0.0788,2.0,399.39,1.407,34,0.3778,5,17,0
USER_10050,2024-05-25,2025-10-03,2025-12-31,2025-12-30,2025-10-06,585,61,4.71,287.31,230.55,56.76,0.1976,2.0,195.64,0.6809,18,0.2,1,0,1
USER_10051,2024-05-27,2025-10-03,2025-12-31,2025-11-27,2025-10-17,583,20,8.12,162.4,73.53,88.87,0.5472,3.0,145.92,0.8985,7,0.0778,34,1,0
USER_10052,2024-12-01,2025-10-03,2025-12-31,2025-12-04,2025-10-28,395,17,15.34,260.78,107.06,153.72,0.5895,2.0,387.41,1.4856,5,0.0556,27,1,0
USER_10053,2025-04-15,2025-10-03,2025-12-31,2025-12-22,2025-10-03,260,43,5.18,222.74,102.62,120.12,0.5393,4.0,196.51,0.8822,15,0.1667,9,0,1
USER_10054,2025-09-04,2025-10-03,2025-12-31,2025-12-24,2025-10-19,118,42,34.97,1468.74,429.51,1039.23,0.7076,1.0,1007.83,0.6862,15,0.1667,7,4,0
USER_10055,2025-08-08,2025-10-03,2025-12-31,2025-12-27,2025-10-03,145,69,,505.08,60.49,444.59,0.8802,2.0,375.05,0.7426,25,0.2778,4,8,0
USER_10056,2022-08-11,2025-10-03,2025-12-31,2025-12-31,2025-10-03,1238,142,15.57,2210.94,938.08,1272.86,0.5757,7.0,1873.74,0.8475,35,0.3889,0,19,0
USER_10057,2025-05-30,2025-10-03,2025-12-31,2025-12-05,2025-10-10,215,23,4.01,92.23,33.72,58.51,0.6344,2.0,82.96,0.8995,9,0.1,26,1,0
USER_10058,2024-04-06,2025-10-03,2025-12-31,2025-12-23,2025-10-04,634,28,10.31,288.68,68.84,219.84,0.7615,0.0,0.0,0.0,8,0.0889,8,10,0
USER_10059,2022-11-06,2025-10-03,2025-12-31,2025-12-27,2025-10-11,1151,107,6.31,675.17,518.43,156.74,0.2321,5.0,709.95,1.0515,24,0.2667,4,24,0
USER_10060,2025-09-21,2025-10-03,2025-12-31,2025-12-22,2025-10-07,101,20,6.48,129.6,96.83,32.77,0.2529,2.0,147.29,1.1365,10,0.1111,9,4,0
USER_10061,2024-11-28,2025-10-03,2025-12-31,2025-12-21,2025-10-20,398,49,,311.15,186.16,124.99,0.4017,3.0,195.5,0.6283,16,0.1778,10,0,1
USER_10062,2023-09-07,2025-10-03,2025-12-31,2025-12-04,2025-10-05,846,30,20.14,604.2,272.92,331.28,0.5483,3.0,463.79,0.7676,11,0.1222,27,0,1
USER_10063,2023-03-26,2025-10-03,2025-12-31,2025-12-31,2025-10-17,1011,59,5.19,306.21,240.46,65.75,0.2147,2.0,329.89,1.0773,19,0.2111,0,7,0
USER_10064,2023-04-18,2025-10-03,2025-12-31,2025-12-26,2025-10-05,988,28,19.75,553.0,403.59,149.41,0.2702,4.0,416.16,0.7525,11,0.1222,5,0,1
USER_10065,2025-07-19,2025-10-03,2025-12-31,2025-12-30,2025-10-03,165,45,7.12,320.4,56.14,264.26,0.8248,2.0,284.91,0.8892,12,0.1333,1,0,1
USER_10066,2025-07-03,2025-10-03,2025-12-31,2025-12-21,2025-10-07,181,77,5.57,428.89,508.64,-79.75,-0.1859,1.0,451.59,1.0529,18,0.2,10,5,0
USER_10067,2025-03-09,2025-10-03,2025-12-31,2025-12-31,2025-10-12,297,86,20.49,1762.14,826.53,935.61,0.531,1.0,1084.47,0.6154,23,0.2556,0,11,0
USER_10068,2025-09-28,2025-10-03,2025-12-31,2025-12-31,2025-10-05,94,122,28.93,3529.46,2096.53,1432.93,0.406,5.0,4253.73,1.2052,33,0.3667,0,6,0
USER_10069,2021-06-18,2025-10-03,2025-12-31,2025-12-29,2025-10-09,1657,60,17.39,1043.4,663.31,380.09,0.3643,4.0,556.81,0.5336,17,0.1889,2,15,0
USER_10070,2025-02-02,2025-10-03,2025-12-31,2025-12-16,2025-10-10,332,31,16.23,503.13,94.74,408.39,0.8117,5.0,407.07,0.8091,12,0.1333,15,0,1
USER_10071,2025-09-02,2025-10-03,2025-12-31,2025-12-31,2025-10-03,120,86,7.25,623.5,394.81,228.69,0.3668,7.0,476.33,0.764,24,0.2667,0,20,0
USER_10072,2022-12-26,2025-10-03,2025-12-31,2025-12-29,2025-10-07,1101,114,3.17,361.38,469.17,-107.79,-0.2983,7.0,284.7,0.7878,29,0.3222,2,15,0
USER_10073,2024-10-12,2025-10-03,2025-12-31,2025-12-31,2025-10-04,445,157,28.6,4490.2,3983.3,506.9,0.1129,5.0,3290.86,0.7329,36,0.4,0,15,0
USER_10074,2025-08-14,2025-10-03,2025-12-31,2025-12-28,2025-10-03,139,56,,315.28,166.93,148.35,0.4705,3.0,399.31,1.2665,17,0.1889,3,9,0
USER_10075,2024-11-03,2025-10-03,2025-12-31,2025-12-18,2025-10-09,423,4,11.73,46.92,53.99,-7.07,-0.1507,2.0,52.14,1.1113,3,0.0333,13,0,1
USER_10076,2025-08-22,2025-10-03,2025-12-31,2025-12-12,2025-10-03,131,95,2.27,215.65,74.6,141.05,0.6541,6.0,247.65,1.1484,25,0.2778,19,9,0
USER_10077,2024-01-02,2025-10-03,2025-12-31,2025-12-26,2025-10-03,729,72,,888.48,376.45,512.03,0.5763,3.0,694.97,0.7822,23,0.2556,5,14,0
USER_10078,2024-11-25,2025-10-03,2025-12-31,2025-12-30,2025-10-06,401,17,5.55,94.35,31.77,62.58,0.6633,3.0,70.71,0.7494,9,0.1,1,5,0
USER_10079,2023-01-04,2025-10-03,2025-12-31,2025-12-31,2025-10-03,1092,160,8.41,1345.6,1240.43,105.17,0.0782,3.0,1213.5,0.9018,35,0.3889,0,14,0
USER_10080,2023-04-08,2025-10-03,2025-12-31,2025-12-22,2025-10-03,998,60,,298.8,183.59,115.21,0.3856,4.0,156.17,0.5227,20,0.2222,9,1,0
USER_10081,2024-12-24,2025-10-03,2025-12-31,2025-12-31,2025-10-13,372,26,7.35,191.1,116.03,75.07,0.3928,3.0,216.77,1.1343,9,0.1,0,0,1
USER_10082,2025-08-02,2025-10-03,2025-12-31,2025-12-18,2025-10-09,151,48,12.11,581.28,125.33,455.95,0.7844,0.0,0.0,0.0,15,0.1667,13,0,1
USER_10083,2023-11-13,2025-10-03,2025-12-31,2025-12-25,2025-10-12,779,30,5.37,161.1,101.03,60.07,0.3729,4.0,146.36,0.9085,11,0.1222,6,2,0
USER_10084,2025-06-04,2025-10-03,2025-12-31,2025-12-31,2025-10-03,210,58,14.44,837.52,511.63,325.89,0.3891,2.0,518.08,0.6186,20,0.2222,0,0,1
USER_10085,2023-08-26,2025-10-03,2025-12-31,2025-12-31,2025-10-04,858,170,12.51,2126.7,1588.86,537.84,0.2529,7.0,1326.12,0.6236,38,0.4222,0,29,0
USER_10086,2022-02-16,2025-10-03,2025-12-31,2025-12-08,2025-10-03,1414,57,6.0,342.0,203.63,138.37,0.4046,3.0,216.53,0.6331,18,0.2,23,1,0
USER_10087,2022-01-22,2025-10-03,2025-12-31,2025-12-26,2025-10-05,1439,60,33.22,1993.2,1034.4,958.8,0.481,2.0,1227.18,0.6157,19,0.2111,5,3,0
USER_10088,2024-11-06,2025-10-03,2025-12-31,2025-12-21,2025-10-05,420,25,6.0,150.0,119.82,30.18,0.2012,2.0,114.19,0.7613,11,0.1222,10,1,0
USER_10089,2025-09-21,2025-10-03,2025-12-31,2025-12-29,2025-10-14,101,26,2.62,68.12,49.62,18.5,0.2716,2.0,58.4,0.8573,9,0.1,2,0,1
USER_10090,2025-08-06,2025-10-03,2025-12-31,2025-12-24,2025-10-17,147,25,12.9,322.5,207.04,115.46,0.358,4.0,379.06,1.1754,10,0.1111,7,0,1
USER_10091,2024-07-19,2025-10-03,2025-12-31,2025-12-25,2025-10-07,530,31,17.99,557.69,225.82,331.87,0.5951,1.0,429.21,0.7696,11,0.1222,6,0,1
USER_10092,2023-03-05,2025-10-03,2025-12-31,2025-12-31,2025-10-03,1032,79,13.21,1043.59,113.57,930.02,0.8912,0.0,0.0,0.0,21,0.2333,0,13,0
USER_10093,2025-07-27,2025-10-03,2025-12-31,2025-12-29,2025-10-09,157,49,7.81,382.69,259.51,123.18,0.3219,2.0,329.76,0.8617,16,0.1778,2,4,0
USER_10094,2024-11-27,2025-10-03,2025-12-31,2025-12-22,2025-10-06,399,52,5.89,306.28,320.08,-13.8,-0.0451,4.0,212.77,0.6947,17,0.1889,9,12,0
USER_10095,2025-02-23,2025-10-03,2025-12-31,2025-12-31,2025-11-01,311,16,9.47,151.52,15.15,136.37,0.9,2.0,219.18,1.4465,8,0.0889,0,3,0
USER_10096,2022-04-28,2025-10-03,2025-12-31,2025-12-28,2025-10-06,1343,61,7.73,471.53,290.81,180.72,0.3833,6.0,476.77,1.0111,19,0.2111,3,6,0
USER_10097,2025-02-24,2025-10-03,2025-12-31,2025-12-30,2025-10-22,310,30,11.93,357.9,122.04,235.86,0.659,2.0,387.78,1.0835,11,0.1222,1,1,0
USER_10098,2025-07-31,2025-10-03,2025-12-31,2025-12-29,2025-10-07,153,65,8.46,549.9,321.52,228.38,0.4153,,,,19,0.2111,2,8,0
USER_10099,2025-05-17,2025-10-03,2025-12-31,2025-12-30,2025-10-11,228,92,,541.88,120.09,421.79,0.7784,3.0,609.66,1.1251,25,0.2778,1,7,0
USER_10100,2025-04-16,2025-10-03,2025-12-31,2025-12-30,2025-10-08,259,34,12.42,422.28,66.39,355.89,0.8428,4.0,585.37,1.3862,13,0.1444,1,5,0
USER_10101,2024-12-16,2025-10-03,2025-12-31,2025-12-16,2025-10-06,380,32,13.38,428.16,211.57,216.59,0.5059,4.0,432.65,1.0105,12,0.1333,15,6,0
USER_10102,2024-06-14,2025-10-03,2025-12-31,2025-12-23,2025-10-08,565,23,8.3,190.9,218.45,-27.55,-0.1443,1.0,235.28,1.2325,9,0.1,8,0,1
USER_10103,2025-09-06,2025-10-03,2025-12-31,2025-12-31,2025-10-14,116,19,21.69,412.11,413.54,-1.43,-0.0035,0.0,0.0,0.0,7,0.0778,0,0,1
USER_10104,2025-08-16,2025-10-03,2025-12-31,2025-12-29,2025-10-06,137,48,4.51,216.48,133.74,82.74,0.3822,3.0,285.35,1.3181,14,0.1556,2,5,0
USER_10105,2023-02-12,2025-10-03,2025-12-31,2025-12-29,2025-10-13,1053,75,17.08,1281.0,390.24,890.76,0.6954,,,,22,0.2444,2,19,0
USER_10106,2023-11-06,2025-10-03,2025-12-31,2025-12-30,2025-10-10,786,47,8.47,398.09,370.81,27.28,0.0685,0.0,0.0,0.0,17,0.1889,1,0,1
USER_10107,2025-07-31,2025-10-03,2025-12-31,2025-11-12,2025-10-04,153,15,8.61,129.15,191.8,-62.65,-0.4851,3.0,187.17,1.4492,6,0.0667,49,0,1
USER_10108,2021-07-21,2025-10-03,2025-12-31,2025-12-29,2025-10-04,1624,122,1.68,204.96,137.34,67.62,0.3299,4.0,310.59,1.5154,31,0.3444,2,20,0
USER_10109,2024-06-25,2025-10-03,2025-12-31,2025-12-31,2025-10-05,554,121,9.84,1190.64,790.48,400.16,0.3361,6.0,1175.63,0.9874,26,0.2889,0,21,0
USER_10110,2023-10-30,2025-10-03,2025-12-31,2025-12-26,2025-10-05,793,44,4.12,181.28,181.11,0.17,0.0009,2.0,211.15,1.1648,18,0.2,5,9,0
USER_10111,2024-01-21,2025-10-03,2025-12-31,2025-12-31,2025-10-14,710,34,8.7,295.8,244.15,51.65,0.1746,1.0,382.75,1.2939,14,0.1556,0,3,0
USER_10112,2021-08-05,2025-10-03,2025-12-31,2025-12-28,2025-10-04,1609,78,8.17,637.26,416.15,221.11,0.347,6.0,554.11,0.8695,21,0.2333,3,5,0
USER_10113,2023-04-01,2025-10-03,2025-12-31,2025-12-29,2025-10-14,1005,78,17.03,1328.34,1310.96,17.38,0.0131,0.0,0.0,0.0,25,0.2778,2,12,0
USER_10114,2021-11-15,2025-10-03,2025-12-31,2025-12-31,2025-10-05,1507,47,14.37,675.39,930.46,-255.07,-0.3777,0.0,0.0,0.0,17,0.1889,0,5,0
USER_10115,2025-05-13,2025-10-03,2025-12-31,2025-12-30,2025-10-07,232,65,6.9,448.5,290.42,158.08,0.3525,,,,18,0.2,1,0,1
USER_10116,2025-09-04,2025-10-03,2025-12-31,2025-11-29,2025-10-05,118,12,8.58,102.96,38.42,64.54,0.6268,0.0,0.0,0.0,6,0.0667,32,0,1
USER_10117,2025-09-06,2025-10-03,2025-12-31,2025-12-30,2025-10-08,116,140,1.94,271.6,296.35,-24.75,-0.0911,4.0,349.0,1.285,30,0.3333,1,14,0
USER_10118,2024-12-03,2025-10-03,2025-12-31,2025-12-22,2025-10-05,393,34,9.49,322.66,142.75,179.91,0.5576,,,,12,0.1333,9,4,0
USER_10119,2025-07-04,2025-10-03,2025-12-31,2025-12-23,2025-10-12,180,32,32.31,1033.92,354.68,679.24,0.657,3.0,600.11,0.5804,10,0.1111,8,0,1
USER_10120,2025-04-29,2025-10-03,2025-12-31,2025-12-28,2025-10-05,246,46,7.81,359.26,241.63,117.63,0.3274,2.0,437.16,1.2168,17,0.1889,3,0,1
USER_10121,2023-07-19,2025-10-03,2025-12-31,2025-12-30,2025-10-05,896,80,5.99,479.2,468.56,10.64,0.0222,1.0,431.77,0.901,21,0.2333,1,6,0
USER_10122,2022-05-01,2025-10-03,2025-12-31,2025-12-26,2025-10-07,1340,72,2.43,174.96,79.8,95.16,0.5439,1.0,170.02,0.9718,20,0.2222,5,7,0
USER_10123,2024-10-13,2025-10-03,2025-12-31,2025-12-31,2025-10-03,444,57,11.68,665.76,246.37,419.39,0.6299,4.0,879.66,1.3213,18,0.2,0,8,0
USER_10124,2025-09-10,2025-10-03,2025-12-31,2025-12-07,2025-10-14,112,52,18.55,964.6,695.66,268.94,0.2788,3.0,941.23,0.9758,13,0.1444,24,5,0
USER_10125,2025-06-03,2025-10-03,2025-12-31,2025-12-24,2025-10-10,211,24,12.89,309.36,76.94,232.42,0.7513,4.0,347.32,1.1227,9,0.1,7,1,0
USER_10126,2023-03-21,2025-10-03,2025-12-31,2025-12-31,2025-10-04,1016,56,6.37,356.72,387.51,-30.79,-0.0863,2.0,209.98,0.5886,19,0.2111,0,0,1
USER_10127,2025-08-31,2025-10-03,2025-12-31,2025-12-31,2025-10-05,122,42,10.03,421.26,147.07,274.19,0.6509,1.0,512.46,1.2165,15,0.1667,0,1,0
USER_10128,2024-12-31,2025-10-03,2025-12-31,2025-12-26,2025-10-03,365,43,7.85,337.55,272.01,65.54,0.1942,3.0,399.07,1.1823,14,0.1556,5,5,0
USER_10129,2025-02-19,2025-10-03,2025-12-31,2025-12-23,2025-10-05,315,86,10.49,902.14,607.16,294.98,0.327,4.0,731.24,0.8106,24,0.2667,8,21,0
USER_10130,2025-10-05,2025-10-03,2025-12-31,2025-12-31,2025-10-09,87,97,7.89,765.33,591.18,174.15,0.2275,5.0,872.74,1.1403,26,0.2889,0,28,0
USER_10131,2025-01-05,2025-10-03,2025-12-31,2025-11-17,2025-10-14,360,13,9.94,129.22,96.79,32.43,0.251,3.0,135.88,1.0515,5,0.0556,44,0,1
USER_10132,2025-06-11,2025-10-03,2025-12-31,2025-12-28,2025-10-03,203,83,20.59,1708.97,1060.64,648.33,0.3794,1.0,1504.31,0.8802,22,0.2444,3,13,0
USER_10133,2024-11-22,2025-10-03,2025-12-31,2025-12-26,2025-10-09,404,16,16.9,270.4,199.53,70.87,0.2621,3.0,248.49,0.919,6,0.0667,5,2,0
USER_10134,2023-05-15,2025-10-03,2025-12-31,2025-12-28,2025-10-03,961,62,5.72,354.64,446.37,-91.73,-0.2587,5.0,284.92,0.8034,17,0.1889,3,5,0
USER_10135,2025-03-15,2025-10-03,2025-12-31,2025-12-31,2025-10-06,291,119,4.27,508.13,428.83,79.3,0.1561,4.0,367.79,0.7238,31,0.3444,0,11,0
USER_10136,2024-10-20,2025-10-03,2025-12-31,2025-12-28,2025-11-01,437,40,8.34,333.6,177.57,156.03,0.4677,5.0,332.78,0.9975,14,0.1556,3,10,0
USER_10137,2022-01-23,2025-10-03,2025-12-31,2025-12-31,2025-10-03,1438,154,6.36,979.44,610.68,368.76,0.3765,3.0,779.28,0.7956,39,0.4333,0,18,0
USER_10138,2025-08-04,2025-10-03,2025-12-31,2025-12-26,2025-10-07,149,91,6.23,566.93,476.55,90.38,0.1594,7.0,640.45,1.1297,25,0.2778,5,13,0
USER_10139,2025-08-28,2025-10-03,2025-12-31,2025-12-26,2025-10-03,125,24,20.23,485.52,153.7,331.82,0.6834,5.0,427.32,0.8801,9,0.1,5,0,1
USER_10140,2025-04-25,2025-10-03,2025-12-31,2025-12-29,2025-10-05,250,58,5.55,321.9,85.5,236.4,0.7344,,,,20,0.2222,2,1,0
USER_10141,2024-06-07,2025-10-03,2025-12-31,2025-12-31,2025-10-23,572,39,8.99,350.61,455.79,-105.18,-0.3,3.0,407.67,1.1627,12,0.1333,0,4,0
USER_10142,2025-05-24,2025-10-03,2025-12-31,2025-12-30,2025-10-03,221,44,8.54,375.76,110.29,265.47,0.7065,4.0,294.65,0.7841,14,0.1556,1,14,0
USER_10143,2023-06-06,2025-10-03,2025-12-31,2025-12-30,2025-10-10,939,82,27.8,2279.6,2038.72,240.88,0.1057,,,,23,0.2556,1,0,1
USER_10144,2023-11-05,2025-10-03,2025-12-31,2025-12-19,2025-10-04,787,60,6.11,366.6,193.46,173.14,0.4723,2.0,205.88,0.5616,18,0.2,12,6,0
USER_10145,2025-09-08,2025-10-03,2025-12-31,2025-12-31,2025-10-06,114,30,19.82,594.6,424.3,170.3,0.2864,3.0,407.39,0.6851,12,0.1333,0,7,0
USER_10146,2023-01-08,2025-10-03,2025-12-31,2025-12-06,2025-10-03,1088,18,16.81,302.58,194.99,107.59,0.3556,2.0,185.37,0.6126,9,0.1,25,4,0
USER_10147,2024-08-08,2025-10-03,2025-12-31,2025-12-10,2025-10-06,510,18,17.53,315.54,219.63,95.91,0.304,1.0,431.77,1.3684,9,0.1,21,0,1
USER_10148,2023-07-27,2025-10-03,2025-12-31,2025-12-29,2025-10-09,888,41,18.28,749.48,460.5,288.98,0.3856,,,,16,0.1778,2,7,0
